Date,Close,Return_next,Predicted_Close_next,Predicted_Return_next,Signal
23-Dec-16,29048.190000,-0.001674,29063.654843,0.000532,HOLD
26-Dec-16,28999.560000,-0.003366,28991.391860,-0.000282,HOLD
27-Dec-16,28901.940000,0.000941,28887.725470,-0.000492,HOLD
28-Dec-16,28929.130000,0.000591,28926.286716,-0.000098,HOLD
29-Dec-16,28946.230000,0.017149,28940.333356,-0.000204,HOLD
30-Dec-16,29442.630000,-0.001512,29450.152898,0.000256,HOLD
02-Jan-17,29398.110000,0.006386,29394.006607,-0.000140,HOLD
03-Jan-17,29585.850000,0.002134,29589.276920,0.000116,HOLD
04-Jan-17,29648.990000,-0.004393,29639.437701,-0.000322,HOLD
05-Jan-17,29518.740000,-0.001128,29505.045609,-0.000464,HOLD
06-Jan-17,29485.450000,-0.010777,29472.013765,-0.000456,HOLD
09-Jan-17,29167.680000,0.005639,29148.551807,-0.000656,HOLD
10-Jan-17,29332.160000,0.003042,29346.677691,0.000495,HOLD
11-Jan-17,29421.400000,-0.006262,29446.497355,0.000853,HOLD
12-Jan-17,29237.150000,0.005896,29239.297159,0.000073,HOLD
13-Jan-17,29409.520000,0.004145,29433.085074,0.000801,HOLD
16-Jan-17,29531.430000,0.003928,29548.358861,0.000573,HOLD
17-Jan-17,29647.420000,-0.000908,29664.151427,0.000564,HOLD
18-Jan-17,29620.500000,0.009781,29619.235479,-0.000043,HOLD
19-Jan-17,29910.220000,0.002140,29919.522981,0.000311,HOLD
20-Jan-17,29974.240000,-0.001565,29955.733832,-0.000617,HOLD
23-Jan-17,29927.340000,-0.007376,29912.685915,-0.000490,HOLD
24-Jan-17,29706.610000,-0.004405,29694.561475,-0.000406,HOLD
25-Jan-17,29575.740000,0.007189,29571.107573,-0.000157,HOLD
27-Jan-17,29788.350000,-0.004863,29803.747505,0.000517,HOLD
30-Jan-17,29643.480000,-0.006141,29636.970733,-0.000220,HOLD
31-Jan-17,29461.450000,-0.001622,29465.275867,0.000130,HOLD
01-Feb-17,29413.660000,-0.003215,29423.577865,0.000337,HOLD
02-Feb-17,29319.100000,0.000596,29347.804712,0.000979,HOLD
03-Feb-17,29336.570000,0.002925,29345.244627,0.000296,HOLD
06-Feb-17,29422.390000,-0.001940,29440.658005,0.000621,HOLD
07-Feb-17,29365.300000,0.009894,29356.065433,-0.000314,HOLD
08-Feb-17,29655.840000,0.009691,29682.066916,0.000884,HOLD
09-Feb-17,29943.240000,0.006349,29955.834164,0.000421,HOLD
10-Feb-17,30133.350000,-0.003438,30136.967838,0.000120,HOLD
13-Feb-17,30029.740000,-0.003708,30014.282791,-0.000515,HOLD
14-Feb-17,29918.400000,0.000093,29895.051782,-0.000780,HOLD
15-Feb-17,29921.180000,-0.000882,29904.418035,-0.000560,HOLD
16-Feb-17,29894.800000,0.007741,29887.820567,-0.000233,HOLD
17-Feb-17,30126.210000,-0.008876,30135.301354,0.000302,HOLD
20-Feb-17,29858.800000,0.002256,29853.918851,-0.000163,HOLD
21-Feb-17,29926.150000,0.000237,29948.002353,0.000730,HOLD
22-Feb-17,29933.250000,0.010521,29951.449493,0.000608,HOLD
23-Feb-17,30248.170000,0.000093,30287.593888,0.001303,BUY
27-Feb-17,30250.980000,-0.002077,30261.353584,0.000343,HOLD
28-Feb-17,30188.150000,0.004438,30185.005795,-0.000104,HOLD
01-Mar-17,30322.120000,0.008590,30332.549308,0.000344,HOLD
02-Mar-17,30582.600000,0.002491,30601.035872,0.000603,HOLD
03-Mar-17,30658.770000,-0.007306,30661.759337,0.000098,HOLD
06-Mar-17,30434.790000,0.000990,30438.371991,0.000118,HOLD
07-Mar-17,30464.920000,0.003481,30471.895935,0.000229,HOLD
08-Mar-17,30570.970000,-0.006729,30577.797502,0.000223,HOLD
09-Mar-17,30365.250000,-0.002095,30367.661291,0.000079,HOLD
10-Mar-17,30301.640000,0.014798,30310.294693,0.000286,HOLD
14-Mar-17,30750.030000,0.009046,30796.010561,0.001495,BUY
15-Mar-17,31028.210000,0.002613,31066.174821,0.001224,BUY
16-Mar-17,31109.280000,0.001611,31137.053027,0.000893,HOLD
17-Mar-17,31159.400000,-0.000436,31168.187809,0.000282,HOLD
20-Mar-17,31145.800000,-0.000264,31138.514336,-0.000234,HOLD
21-Mar-17,31137.590000,0.004358,31137.384895,-0.000007,HOLD
22-Mar-17,31273.290000,0.001158,31279.905750,0.000212,HOLD
23-Mar-17,31309.490000,-0.003799,31308.044311,-0.000046,HOLD
24-Mar-17,31190.560000,0.002588,31181.262959,-0.000298,HOLD
27-Mar-17,31271.280000,-0.001852,31284.602455,0.000426,HOLD
28-Mar-17,31213.360000,0.001560,31222.936939,0.000307,HOLD
29-Mar-17,31262.060000,-0.005321,31272.906617,0.000347,HOLD
30-Mar-17,31095.700000,0.000251,31094.511211,-0.000038,HOLD
31-Mar-17,31103.490000,0.001685,31126.310611,0.000734,HOLD
03-Apr-17,31155.910000,-0.002574,31161.777424,0.000188,HOLD
05-Apr-17,31075.730000,-0.000622,31073.810637,-0.000062,HOLD
06-Apr-17,31056.400000,0.008216,31056.594835,0.000006,HOLD
07-Apr-17,31311.570000,-0.000448,31331.298338,0.000630,HOLD
10-Apr-17,31297.530000,-0.000444,31291.901704,-0.000180,HOLD
11-Apr-17,31283.640000,0.000227,31277.074576,-0.000210,HOLD
12-Apr-17,31290.740000,-0.004875,31298.562370,0.000250,HOLD
13-Apr-17,31138.210000,-0.005779,31120.838704,-0.000558,HOLD
17-Apr-17,30958.250000,-0.004003,30944.912274,-0.000431,HOLD
18-Apr-17,30834.320000,0.000752,30824.648654,-0.000314,HOLD
19-Apr-17,30857.520000,0.002077,30872.948568,0.000500,HOLD
20-Apr-17,30921.610000,0.009702,30930.404127,0.000284,HOLD
21-Apr-17,31221.620000,-0.000379,31232.530509,0.000349,HOLD
24-Apr-17,31209.790000,0.001146,31210.125447,0.000011,HOLD
25-Apr-17,31245.560000,0.003962,31242.255331,-0.000106,HOLD
26-Apr-17,31369.340000,-0.000278,31379.147954,0.000313,HOLD
27-Apr-17,31360.630000,0.011320,31352.182276,-0.000269,HOLD
28-Apr-17,31715.640000,0.000992,31726.061277,0.000329,HOLD
02-May-17,31747.090000,0.001818,31744.030903,-0.000096,HOLD
03-May-17,31804.820000,0.007312,31797.935326,-0.000216,HOLD
04-May-17,32037.380000,-0.000519,32051.214637,0.000432,HOLD
05-May-17,32020.750000,0.001687,32009.320099,-0.000357,HOLD
08-May-17,32074.780000,-0.011342,32080.811682,0.000188,HOLD
09-May-17,31710.990000,0.007706,31715.179785,0.000132,HOLD
10-May-17,31955.350000,-0.001594,31965.567718,0.000320,HOLD
11-May-17,31904.400000,0.003902,31909.566157,0.000162,HOLD
12-May-17,32028.890000,0.006775,32032.732415,0.000120,HOLD
15-May-17,32245.870000,-0.000546,32278.233480,0.001004,BUY
16-May-17,32228.270000,0.004784,32236.761392,0.000263,HOLD
17-May-17,32382.460000,0.000026,32404.718884,0.000687,HOLD
18-May-17,32383.300000,-0.002267,32394.972153,0.000360,HOLD
19-May-17,32309.880000,0.006347,32293.634907,-0.000503,HOLD
22-May-17,32514.940000,0.001852,32520.182533,0.000161,HOLD
23-May-17,32575.170000,-0.003022,32575.770762,0.000018,HOLD
24-May-17,32476.740000,-0.007355,32471.226001,-0.000170,HOLD
25-May-17,32237.880000,0.002715,32228.282287,-0.000298,HOLD
26-May-17,32325.410000,-0.001601,32342.327879,0.000523,HOLD
29-May-17,32273.670000,-0.008040,32278.886851,0.000162,HOLD
30-May-17,32014.190000,-0.006758,32004.952097,-0.000289,HOLD
31-May-17,31797.840000,-0.008381,31802.130752,0.000135,HOLD
